rank_date,rank_position,bvid,aid,title,author,category,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,41,BV1YcVf69ECW,116674011403376,此树扎根之时 便是沧海化桑田之始,芳斯塔芙,科学科普,895,2750625,3913,1677,48473,12257,10020,1812,1780452000,https://www.bilibili.com/video/BV1YcVf69ECW,http://i0.hdslb.com/bfs/archive/ed8be5ac08d0dc86021a749410e52d4f9079b7c9.jpg
2026-06-05,42,BV12QVi6nEQ1,116679044565103,给我净身出户！听懂了吗！,ENX叉叉酱,同人·手书,73,1218396,857,6454,127139,4037,20481,4852,1780398000,https://www.bilibili.com/video/BV12QVi6nEQ1,http://i2.hdslb.com/bfs/archive/5ecc74e1bff1b7b7d05b294d84194894e22e3077.jpg
2026-06-05,43,BV1WgVC6YERr,116681410283485,理财PK两个月，6位UP主已经彻底疯狂...【理财王5月战绩汇报】,-LKs-,财经商业,779,1577195,4054,4614,58927,11844,11299,7612,1780459200,https://www.bilibili.com/video/BV1WgVC6YERr,http://i0.hdslb.com/bfs/archive/64ee687bda302bd6feee386ca990737e67920669.jpg
2026-06-05,44,BV18qVr6KEk8,116680554519472,一个投了3万元必火的视频,奥利奥利奥是1,日常,46,583873,957,5934,146415,12595,14344,2552,1780405200,https://www.bilibili.com/video/BV18qVr6KEk8,http://i0.hdslb.com/bfs/archive/0c023b00bd1d3a694bdd40c9d19039f1436532b1.jpg
2026-06-05,45,BV1G1VB6PEro,116680286144492,今天的员工够燥的~#异宠 #爬宠 #慢宠时钟 #萌宠,慢宠日记啊,日常,79,3131883,483,3039,119037,1513,8139,5778,1780400126,https://www.bilibili.com/video/BV1G1VB6PEro,http://i0.hdslb.com/bfs/archive/816ee56ee784d2ccfe8c14d2289cfa7fa2839d73.jpg
2026-06-05,46,BV1nsVf6ME6Q,116675974335267,起初我一直以为“霸总”只是大家对王心凌站哥站姐的爱称…,王心凌FM,音乐现场,42,3129183,502,2878,193648,2094,6778,1697,1780334311,https://www.bilibili.com/video/BV1nsVf6ME6Q,http://i1.hdslb.com/bfs/archive/577514b0c4adb075d9561dda563e0b33c2cc9b1e.jpg
2026-06-05,47,BV1r6V26BE9i,116685486949496,《上海奥特曼4：沪特曼集结！》,册那队长,小剧场,53,2501176,863,4890,116060,8807,15903,27532,1780479544,https://www.bilibili.com/video/BV1r6V26BE9i,http://i0.hdslb.com/bfs/archive/a062cb9d7991230d0d7287d7d8fd5bead9ec6788.jpg
2026-06-05,48,BV1WBVZ6zEZF,116674262997815,朋克的扑满完整版！六一变身巴啦啦小魔丸！,辉泰廊大王,音乐现场,87,989359,274,1854,116351,19981,26062,5444,1780309712,https://www.bilibili.com/video/BV1WBVZ6zEZF,http://i1.hdslb.com/bfs/archive/7b6177df7c5730719e6e85670d645595c6ff940e.jpg
2026-06-05,49,BV11DVo6rEo7,116674850196476,🐱穷鬼气球,竹内有虫,综合,40,1023852,530,3718,129170,7779,37870,21388,1780317192,https://www.bilibili.com/video/BV11DVo6rEo7,http://i0.hdslb.com/bfs/archive/c914f8432580c402c9749aca8e6fa9efa26eedbb.jpg
2026-06-05,50,BV1YmV666EoR,116681091515032,坏了，这下特朗普都反犹了,波士顿圆脸,社科·法律·心理,915,1326065,2888,2779,70877,5963,7170,2061,1780412433,https://www.bilibili.com/video/BV1YmV666EoR,http://i0.hdslb.com/bfs/archive/52eddb4b47addf6fcebb5bcb20458336c2d0d4ea.jpg
