rank_date,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,35,BV1pnVm6GEQG,116685386483651,“当bro以为自己很有影响力时…”,林宇辉,社科·法律·心理,知识,124,16,652391,339,1574,186101,7001,20908,904,1780478075,https://www.bilibili.com/video/BV1pnVm6GEQG,http://i1.hdslb.com/bfs/archive/02329b4beff89227f0f34b10ef7ca21a2b920c65.jpg
2026-06-05,36,BV1BqVS6MEL8,116668592363308,欢迎来到304班娃娃店,蟹上皇呀,日常,生活,21,114,2131797,1105,3754,222958,11775,83965,13782,1780221495,https://www.bilibili.com/video/BV1BqVS6MEL8,http://i1.hdslb.com/bfs/archive/9efeef607e818a1f01d4a5f1009a80d45ffcb333.jpg
2026-06-05,37,BV1w6EF6QEjZ,116690033778619,不看后悔！史上最神人店家！,转生成为毛毛,美食侦探,美食,212,186,1724777,2424,5149,80531,1969,12060,7179,1780563600,https://www.bilibili.com/video/BV1w6EF6QEjZ,http://i1.hdslb.com/bfs/archive/07cb98d8f59285212c90c7646739a87803bf06c0.jpg
2026-06-05,38,BV1pAVz6DEDB,116679816252276,马尔代夫潜水事故，5人洞穴潜水6人遇难,神秘园,影视杂谈,影视,182,812,1470235,6873,4875,70759,9033,12434,5838,1780398000,https://www.bilibili.com/video/BV1pAVz6DEDB,http://i1.hdslb.com/bfs/archive/141ade135f39736a342786a14b07bd965e1ba300.jpg
2026-06-05,39,BV1xWG16qEBn,116644936422865,我打孔子，真的假的？,自动鬼畜中的WZ,鬼畜调教,鬼畜,22,281,3106851,2533,6369,141832,6511,26855,6261,1780286400,https://www.bilibili.com/video/BV1xWG16qEBn,http://i2.hdslb.com/bfs/archive/5395cba11bd2f2864886c0fa2c3962deef4570e3.jpg
2026-06-05,40,BV1uAVo6yE5n,116673222806359,阳寿伏妖  青州篇【一口气看完八小时合集】,七夜不起夜z,综合,综合,27,31228,931519,10623,1498,52810,31372,60742,2874,1780292399,https://www.bilibili.com/video/BV1uAVo6yE5n,http://i2.hdslb.com/bfs/archive/1d5f24afd7637434849f1321276448ab358b1094.jpg
2026-06-05,41,BV1YcVf69ECW,116674011403376,此树扎根之时 便是沧海化桑田之始,芳斯塔芙,科学科普,知识,201,895,2752164,3927,1683,48631,12312,10068,1819,1780452000,https://www.bilibili.com/video/BV1YcVf69ECW,http://i0.hdslb.com/bfs/archive/ed8be5ac08d0dc86021a749410e52d4f9079b7c9.jpg
2026-06-05,42,BV12QVi6nEQ1,116679044565103,给我净身出户！听懂了吗！,ENX叉叉酱,同人·手书,动画,47,73,1222075,859,6158,127656,4050,20584,4862,1780398000,https://www.bilibili.com/video/BV12QVi6nEQ1,http://i2.hdslb.com/bfs/archive/5ecc74e1bff1b7b7d05b294d84194894e22e3077.jpg
2026-06-05,43,BV1WgVC6YERr,116681410283485,理财PK两个月，6位UP主已经彻底疯狂...【理财王5月战绩汇报】,-LKs-,财经商业,知识,207,779,1582904,4063,4627,59069,11868,11331,7631,1780459200,https://www.bilibili.com/video/BV1WgVC6YERr,http://i0.hdslb.com/bfs/archive/64ee687bda302bd6feee386ca990737e67920669.jpg
2026-06-05,44,BV18qVr6KEk8,116680554519472,一个投了3万元必火的视频,奥利奥利奥是1,日常,生活,21,46,594981,975,5968,148640,12800,14564,2565,1780405200,https://www.bilibili.com/video/BV18qVr6KEk8,http://i0.hdslb.com/bfs/archive/0c023b00bd1d3a694bdd40c9d19039f1436532b1.jpg
